Image,Claude 3.5 Sonnet,GPT-4 Turbo,GPT-4o,Gemini 1.5 Flash
Xmas_Artwork.jpeg,16.0,13.0,16.0,12.0
centaur.jpeg,14.0,15.0,16.0,9.0
IMG_2272.jpeg,11.0,14.0,14.0,5.0
mom-daughter.jpeg,13.0,14.0,16.0,12.0
xmas_tree.jpeg,15.0,16.0,16.0,12.0
mandala_cat.jpeg,15.0,16.0,16.0,12.0
pink_flower.jpeg,16.0,15.0,16.0,12.0
two_people.jpeg,16.0,15.0,16.0,13.0
pandas.jpeg,15.0,15.0,15.0,8.0
IMG_2273.jpeg,16.0,14.0,16.0,8.0
love_monster.jpeg,15.0,14.0,16.0,13.0
sunflower.jpeg,16.0,14.0,16.0,14.0
Abstract_Work_Blue.jpeg,13.0,13.0,16.0,11.0
turkey.jpeg,16.0,13.0,16.0,12.0
Kayson IMG_0512.jpeg,15.0,15.0,16.0,15.0
rainbow.jpeg,15.0,15.0,16.0,12.0
imprints.jpeg,14.0,16.0,16.0,12.0
CountryBalls.jpeg,14.0,15.0,16.0,10.0
creature_hello.jpeg,15.0,15.0,16.0,12.0
bulldog.jpeg,16.0,16.0,16.0,13.0
Airplane.jpeg,16.0,15.0,16.0,10.0
abstract_blue_white_red.jpeg,14.0,14.0,13.0,8.0
Kayson IMG_0511.jpeg,15.0,16.0,16.0,11.0
craft_flower.jpeg,15.0,16.0,15.0,13.0
peeps.jpeg,12.0,15.0,16.0,14.0
poms.jpeg,16.0,12.0,16.0,14.0
Vampire.jpeg,16.0,14.0,16.0,11.0
mandala.jpeg,16.0,16.0,16.0,12.0
skull_face_jones.jpeg,15.0,15.0,16.0,12.0
IMG_2271.jpeg,15.0,15.0,15.0,13.0
Average,14.866666666666667,14.7,15.733333333333333,11.5
